name,sku,cpsp_expand_prices,cpsp_show_lowest,cpsp_enable
Fido's Herbal Shampoo ,DGF064,1,0,1
Fido's Avitrol Mite and Lice Spray,BHF010,1,0,1
Fido's Avitrol Plus Bird Worming Syrup,BHF020,1,0,1
Nylon Collar Black,DOGCOLLAR1,1,0,1
Fido's Glucosamine Tablets,DHF102,1,0,1
Nylon Dog Collar Blue,DOGCOLLAR2,1,0,1
Nylon Dog Collar Red,DOGCOLLAR3,1,0,1
Nylon Dog Collar Pink,DOGCOLLAR4,1,0,1
PAW Osteocare Joint Health Chews for Dogs,DHP208,1,0,1
PAW Osteosupport Joint Care Powder for Dogs,DHP206,1,0,1
PAW Osteosupport Joint Care Powder for Cats 60's,PAW0060,,,
PAW Digesticare 60 Powder for Dogs & Cats 150g,DHP2130,,,
PAW Gentle Ear Cleaner 120ml,DHP2020,,,
PAW Wellness & Vitality Multivitamin Chews,DHP2380,,,
Nylon Dog Collar Purple,DOGCOLLAR5,1,0,1
PAW Multi+Tryptophan Multivitamin Chews 300g,DHP2180,,,
PAW Dermega Omega 3 & 6 Oral Supplement 200ml,DHP2140,,,
Adjustable Nylon Dog Collar Black,DOGCOLLAR6,1,0,1
Adjustable Nylon Dog Collar Blue,DOGCOLLAR7,1,0,1
Adjustable Nylon Dog Collar Red,DOGCOLLAR8,1,0,1
Adjustable Nylon Dog Collar Pink,DOGCOLLAR9,1,0,1
Adjustable Nylon Dog Collar Purple,DOGCOLLAR10,1,0,1
Padded Nylon Dog Collar Black,DOGCOLLAR11,1,0,1
Padded Nylon Dog Collar Blue,DOGCOLLAR12,1,0,1
Petlife Padded Nylon Dog Collar Red,DOGCOLLAR13,1,0,1
Leather Plain Dog Collar Black,DOGCOLLAR14,1,0,1
Leather Plain Dog Collar Morocco Large,16313,,,
Leather Plain Dog Collar Morocco,DOGCOLLAR15,1,0,1
Leather Plain Dog Collar Cabernet,DOGCOLLAR16,1,0,1
Science Diet Puppy Small & Toy Savory Stew with Chicken & Vegetables 156gx24pack,DPS0820,,,
PAW Rose Aroma Grooming Mist 125ml,DGP1320,,,
PAW Puppy Conditioning Spray 200ml,DGP1040,,,
PAW Puppy Gentle Shampoo 200ml,DGP1020,,,
PAW 2 in 1 Conditioning Shampoo ,DGP106,1,0,1
PAW Sensitive Skin Shampoo,DGP112,1,1,1
PAW Sensitive Skin Conditioner 200ml,DGP1180,,,
PAW NutriDerm Replenishing Shampoo 200ml,DGP1220,,,
PAW NutriDerm Replenishing Conditioner 200ml,DGP1240,,,
PAW MediDerm Gentle Medicated Shampoo,DGP126,1,0,1
PAW Classic Care Shampoo,DGP140,1,0,1
Leather Studded Dog Collar Black,DOGCOLLAR17,1,0,1
Leather Studded Dog Collar Morocco,DOGCOLLAR18,1,0,1
Leather Studded Dog Collar Cabernet,DOGCOLLAR19,1,0,1
Leather Staffy Dog Collar Black,DOGCOLLAR20,1,0,1
Leather Staffy Dog Collar Cabernet,DOGCOLLAR21,1,0,1
Leather Staffy Dog Collar Morocco,DOGCOLLAR22,1,0,1
Science Diet Adult Small & Toy Breed Savory Stew with Chicken & Vegetables 156gx24pack,DPS0900,,,
Science Diet Adult Small & Toy Breed Savory Stew with Beef & Vegetables 156gx24pack,DPS0920,,,
Science Diet Mature Small & Toy Breed Savory Stew with Chicken & Vegetables 156gx24pack,DPS1060,,,
Science Diet Puppy Savory Stew with Chicken & Vegetables 363gx12pack,DPS0840,,,
Science Diet Puppy Savory Stew with Beef & Vegetables 363gx12pack,DPS0860,,,
Science Diet Adult Savory Stew with Chicken & Vegetables 363gx12pack ,DPS0940,,,
Science Diet Adult Savory Stew with Beef & Vegetables 363gx12pack ,DPS0960,,,
Science Diet Adult Savory Stew with Turkey & Vegetables 363gx12pack ,DPS0980,,,
Science Diet Mature Savory Stew with Chicken & Vegetables 363gx12pack ,DPS1080,,,
Science Diet Mature Savory Stew with Beef & Vegetables 363gx12pack ,DPS1100,,,
Dermcare Aloveen Shampoo ,DGA002,1,0,1
Dermcare Aloveen Conditioner,DGA008,1,0,1
Dermcare Aloveen Shampoo and Conditioner Bonus Pack,DGA0140,,,
Special Edition Leather Dog Collar Black,DOGCOLLAR24,1,0,1
Dermcare Malaseb Medicated Shampoo ,DGM004,1,0,1
Powergrip Adjustable Dog Collar Blue Steel,DOGCOLLAR25,1,0,1
Powergrip Adjustable Dog Collar Purple Punch,DOGCOLLAR26,1,0,1
Dermcare Natural Shampoo,DGD002,1,0,1
Action Dog Collar Burnt Orange,DOGCOLLAR27,1,0,1
Permoxin Concentrate ,DHP152,1,0,1
Action Dog Collar Panther Black,DOGCOLLAR28,1,0,1
Watersports Adjustable Dog Collar Anchor Red,DOGCOLLAR29,1,0,1
Epi Otic Skin & Ear Cleaner,DHV216,1,0,1
Watersports Adjustable Dog Collar Drift Blue,DOGCOLLAR30,1,0,1
Nylon Lead Black,DOGLEAD1,1,0,1
Nylon Lead Blue,DOGLEAD2,1,0,1
Nylon Lead Red 180cmX25mm,16512,,,
Nylon Lead Red,DOGLEAD3,1,0,1
Nylon Lead Pink,DOGLEAD4,1,0,1
Troy Repel X,DHT180,1,0,1
Nylon Lead Purple,DOGLEAD5,1,0,1
Troy Fly Repella Cream,DHT160,,,
Padded Nylon Lead Black,DOGLEAD6,1,0,1
Padded Nylon Lead Blue,DOGLEAD7,1,0,1
Padded Nylon Lead Red,DOGLEAD8,1,0,1
Padded Chain Lead Black,DOGLEAD9,1,0,1
Padded Chain Lead Blue,DOGLEAD10,1,0,1
Padded Chain Lead Red,DOGLEAD11,1,0,1
Nylon Twin Lead,DOGLEAD12,1,0,1
Powergrip Lead Various Colours,DOGLEAD13,1,0,1
Watersports Lead Adjustable 150cm,DOGLEAD14,1,0,1
Special Edition Leather Lead,17207,,,
Special Edition Retractable Lead 5m,16839,,,
Septicide Antiseptic Cream and Insecticide 100g,DHV2460,,,
Buzz Off Antiseptic and Insecticide Cream 75g,DHB1060,,,
Rose Hip Vital for Canines,DHR150,1,0,1
Joint Guard Liver Chews for Dogs 250g,DHJ0020,,,
Joint Guard Powder for Dogs,DHJ004,1,0,1
Halti Head Collar Black ,HALTI,1,0,1
Joint Guard Powder for Cats 100g,CHJ0020,,,
Halti Head Collar Blue,HALTI2,1,0,1
Halti Head Collar Red,HALTI3,1,0,1
Hill's Science Diet Adult Oral Care,DPS0016,1,1,1
Frontline Plus for Cats,CHF002,1,0,1
Interceptor Chews for Dogs X-Small,DHI002,1,1,1
Interceptor Chews for Dogs Small 4-11kgs,DHI006,1,1,1
Interceptor Chews for Dogs Medium 11-22kgs,DHI010,1,1,1
Interceptor Chews for Dogs Large 22-45kgs,DHI0145,1,1,1
Troy Ear Canker Drops 20ml,DHT1880,,,
Troy Laxapet Gel 100g,DHT1720,,,
Ideal Balance Adult Natural Chicken & Brown Rice Recipe,CPI0002,1,0,1
Ideal Balance Mature Natural Chicken & Brown Rice Recipe,CPI0003,1,0,1
Ideal Balance Adult Grain Free Natural Chicken & Potato Recipe,CPI0004,1,0,1
Ideal Balance Kitten Natural Chicken & Brown Rice Recipe,CPI0005,1,0,1
Ideal Balance Adult Slow Cooked Chicken Recipe 82gx24pack,CPI2200,,,
 Ideal Balance Adult Roasted Turkey Recipe 82gx24pack,CPI2220,,,
Ideal Balance Adult Poached Salmon & Rice Recipe 82gx24pack,CPI2240,,,
 Ideal Balance Adult Braised Trout Recipe 82gx24pack,CPI2260,,,
