name,sku,cpsp_expand_prices,cpsp_show_lowest,cpsp_enable
Adjustable Nylon Dog Collar Red,DOGCOLLAR8,1,1,1
Adjustable Nylon Dog Collar Pink,DOGCOLLAR9,1,1,1
Adjustable Nylon Dog Collar Purple,DOGCOLLAR10,1,1,1
Padded Nylon Dog Collar Black,DOGCOLLAR11,1,1,1
Padded Nylon Dog Collar Blue,DOGCOLLAR12,1,1,1
Petlife Padded Nylon Dog Collar Red,DOGCOLLAR13,1,1,1
Leather Plain Dog Collar Black,DOGCOLLAR14,1,1,1
Leather Plain Dog Collar Morocco Large,16313,,1,
Leather Plain Dog Collar Morocco,DOGCOLLAR15,1,1,1
Leather Plain Dog Collar Cabernet,DOGCOLLAR16,1,1,1
Science Diet Puppy Small & Toy Savory Stew with Chicken & Vegetables 156gx24pack,DPS0820,,1,
PAW Rose Aroma Grooming Mist 125ml,DGP1320,,1,
PAW Puppy Conditioning Spray 200ml,DGP1040,,1,
PAW Puppy Gentle Shampoo 200ml,DGP1020,,1,
PAW 2 in 1 Conditioning Shampoo ,DGP106,1,1,1
PAW Sensitive Skin Shampoo,DGP112,1,1,1
PAW Sensitive Skin Conditioner 200ml,DGP1180,,1,
PAW NutriDerm Replenishing Shampoo 200ml,DGP1220,,1,
PAW NutriDerm Replenishing Conditioner 200ml,DGP1240,,1,
PAW MediDerm Gentle Medicated Shampoo,DGP126,1,1,1
PAW Classic Care Shampoo,DGP140,1,1,1
Leather Studded Dog Collar Black,DOGCOLLAR17,1,1,1
Leather Studded Dog Collar Morocco,DOGCOLLAR18,1,1,1
Leather Studded Dog Collar Cabernet,DOGCOLLAR19,1,1,1
Leather Staffy Dog Collar Black,DOGCOLLAR20,1,1,1
Leather Staffy Dog Collar Cabernet,DOGCOLLAR21,1,1,1
Leather Staffy Dog Collar Morocco,DOGCOLLAR22,1,1,1
Science Diet Adult Small & Toy Breed Savory Stew with Chicken & Vegetables 156gx24pack,DPS0900,,1,
Science Diet Adult Small & Toy Breed Savory Stew with Beef & Vegetables 156gx24pack,DPS0920,,1,
Science Diet Mature Small & Toy Breed Savory Stew with Chicken & Vegetables 156gx24pack,DPS1060,,1,
Science Diet Puppy Savory Stew with Chicken & Vegetables 363gx12pack,DPS0840,,1,
Science Diet Puppy Savory Stew with Beef & Vegetables 363gx12pack,DPS0860,,1,
Science Diet Adult Savory Stew with Chicken & Vegetables 363gx12pack ,DPS0940,,1,
Science Diet Adult Savory Stew with Beef & Vegetables 363gx12pack ,DPS0960,,1,
Science Diet Adult Savory Stew with Turkey & Vegetables 363gx12pack ,DPS0980,,1,
Science Diet Mature Savory Stew with Chicken & Vegetables 363gx12pack ,DPS1080,,1,
Science Diet Mature Savory Stew with Beef & Vegetables 363gx12pack ,DPS1100,,1,
Dermcare Aloveen Shampoo ,DGA002,1,1,1
Dermcare Aloveen Conditioner,DGA008,1,1,1
Dermcare Aloveen Shampoo and Conditioner Bonus Pack,DGA0140,,1,
Special Edition Leather Dog Collar Black,DOGCOLLAR24,1,1,1
Dermcare Malaseb Medicated Shampoo ,DGM004,1,1,1
Powergrip Adjustable Dog Collar Blue Steel,DOGCOLLAR25,1,1,1
Powergrip Adjustable Dog Collar Purple Punch,DOGCOLLAR26,1,1,1
Dermcare Natural Shampoo,DGD002,1,1,1
Action Dog Collar Burnt Orange,DOGCOLLAR27,1,1,1
Permoxin Concentrate ,DHP152,1,1,1
Action Dog Collar Panther Black,DOGCOLLAR28,1,1,1
Watersports Adjustable Dog Collar Anchor Red,DOGCOLLAR29,1,1,1
Epi Otic Skin & Ear Cleaner,DHV216,1,1,1
Watersports Adjustable Dog Collar Drift Blue,DOGCOLLAR30,1,1,1
Nylon Lead Black,DOGLEAD1,1,1,1
Nylon Lead Blue,DOGLEAD2,1,1,1
Nylon Lead Red 180cmX25mm,16512,,1,
Nylon Lead Red,DOGLEAD3,1,1,1
Nylon Lead Pink,DOGLEAD4,1,1,1
Troy Repel X,DHT180,1,1,1
Nylon Lead Purple,DOGLEAD5,1,1,1
Troy Fly Repella Cream,DHT160,,1,
Padded Nylon Lead Black,DOGLEAD6,1,1,1
Padded Nylon Lead Blue,DOGLEAD7,1,1,1
Padded Nylon Lead Red,DOGLEAD8,1,1,1
Padded Chain Lead Black,DOGLEAD9,1,1,1
Padded Chain Lead Blue,DOGLEAD10,1,1,1
Padded Chain Lead Red,DOGLEAD11,1,1,1
Nylon Twin Lead,DOGLEAD12,1,1,1
Powergrip Lead Various Colours,DOGLEAD13,1,1,1
Watersports Lead Adjustable 150cm,DOGLEAD14,1,1,1
Special Edition Leather Lead,17207,,1,
Special Edition Retractable Lead 5m,16839,,1,
Septicide Antiseptic Cream and Insecticide 100g,DHV2460,,1,
Buzz Off Antiseptic and Insecticide Cream 75g,DHB1060,,1,
Rose Hip Vital for Canines,DHR150,1,1,1
Joint Guard Liver Chews for Dogs 250g,DHJ0020,,1,
Joint Guard Powder for Dogs,DHJ004,1,1,1
Halti Head Collar Black ,HALTI,1,1,1
Joint Guard Powder for Cats 100g,CHJ0020,,1,
Halti Head Collar Blue,HALTI2,1,1,1
Halti Head Collar Red,HALTI3,1,1,1
Hill's Science Diet Adult Oral Care,DPS0016,1,1,1
Frontline Plus for Cats,CHF002,1,1,1
Interceptor Chews for Dogs X-Small,DHI002,1,1,1
Interceptor Chews for Dogs Small 4-11kgs,DHI006,1,1,1
Interceptor Chews for Dogs Medium 11-22kgs,DHI010,1,1,1
Interceptor Chews for Dogs Large 22-45kgs,DHI0145,1,1,1
Troy Ear Canker Drops 20ml,DHT1880,,1,
Troy Laxapet Gel 100g,DHT1720,,1,
Ideal Balance Adult Natural Chicken & Brown Rice Recipe,CPI0002,1,1,1
Ideal Balance Mature Natural Chicken & Brown Rice Recipe,CPI0003,1,1,1
Ideal Balance Adult Grain Free Natural Chicken & Potato Recipe,CPI0004,1,1,1
Ideal Balance Kitten Natural Chicken & Brown Rice Recipe,CPI0005,1,1,1
Ideal Balance Adult Slow Cooked Chicken Recipe 82gx24pack,CPI2200,,1,
 Ideal Balance Adult Roasted Turkey Recipe 82gx24pack,CPI2220,,1,
Ideal Balance Adult Poached Salmon & Rice Recipe 82gx24pack,CPI2240,,1,
 Ideal Balance Adult Braised Trout Recipe 82gx24pack,CPI2260,,1,
Ideal Balance Puppy Natural Chicken & Rice Recipe ,DPI0001,1,1,1
Ideal Balance Adult Small Breed Natural Chicken & Rice Recipe 1.81kg,DPI2060,,1,
Ideal Balance Adult Large Breed Natural Chicken & Rice Recipe ,DPI0002,1,1,1
 Ideal Balance Adult Natural Chicken & Brown Rice Recipe ,DPI0004,1,1,1
Ideal Balance Mature Natural Chicken & Brown Rice Recipe ,DPI0006,1,1,1
Ideal Balance Adult Grain Free Natural Chicken & Potato Recipe,DPI0008,1,1,1
Halti Head Collar Purple,HALTI4,1,1,1
Check Chain Medium Heavy 2.5mm,CCHAIN1,1,1,1
Check Chain Extra Heavy 3.5mm,CCHAIN2,1,1,1
Halti Harness,HALTI5,1,1,1
Nylon Adjustable Harness Black,HARNESS1,1,1,1
Frontline Spray,DHF028,1,1,1
Nylon Adjustable Harness Blue,HARNESS2,1,1,1
Nylon Adjustable Harness Red,HARNESS3,1,1,1
Scalibor Tick Collar,DHS2100,,1,
Nylon Adjustable Harness Purple,HARNESS4,1,1,1
Revolution for Cats,CHR002,1,1,1
Revolution Puppy & Kitten up to 2.5kgs 3pk,DHR0020,,1,
Revolution Dog 2.5kgs-5kgs ,DHR004,1,1,1
Revolution Dog 5.1kgs-10kgs,DHR008,1,1,1
Revolution Dog 10.1kgs-20kgs,DHR012,1,1,1
Revolution Dogs 20.1kgs-40kgs,DHR016,1,1,1
Comfortis Chewable Flea Tablet  2.3kgs-4.5kgs 6pk,DHC2020,,1,
Comfortis Chewable Flea Tablet 4.6kgs-9kgs 6pk,DHC2040,,1,
Comfortis Chewable Flea Tablet 9.1kgs-18kgs 6pk,DHC2060,,1,
Comfortis Chewable Flea Tablet 18.1kgs-27kgs 6pk,DHC2080,,1,
Comfortis Chewable Flea Tablet 27.1kgs-54kgs 6pk,DHC2100,,1,
Black Hawk Dog Lamb & Rice,DPB010,1,1,1
Nylon Adjustable Harness Pink,HARNESS5,1,1,1
Black Hawk Dog Chicken & Rice,DPB006,1,1,1
Padded Nylon AdjustableHarness Black ,HARNESS6,1,1,1
Padded Nylon Adjustable Harness Blue,HARNESS7,1,1,1
Black Hawk Puppy Lamb & Rice,DPB002,1,1,1
Padded Nylon Adjustable Harness Red,HARNESS8,1,1,1
Black Hawk Dog Fish & Potato,DPB014,1,1,1
Black Hawk Dog Grain Free Chicken & Rice ,DPB050,1,1,1
Roadie Safety Car Harness,HARNESS9,1,1,1
Black Hawk Dog Grain Free Beef,DPB05,1,1,1
Black Hawk Dog Grain Free Lamb,DPB051,1,1,1
Black Hawk Holistic Seafood & Rice Feline ,CPB011,1,1,1
Black Hawk Holistic Chicken & Rice Feline,BHFC001,1,1,1
Black Hawk Grain Free Chicken ,CPB031,1,1,1
Panoramis Chewable Tablet for Dogs 2.3kgs-4.5kgs,DHP1020,,1,
Panoramis Chewable Table for Dogs 4.6kgs-9kgs,DHP1040,,1,
Panoramis Chewable Tablet for Dogs 9.1kgs-18kgs,DHP1060,,1,
Panoramis Chewable Tablet for Dogs 18.1kgs-27kgs,DHP1080,,1,
Panoramis Chewable Tablet for Dogs 27.1kgs-45kgs,DHP1100,,1,
Puppy Collar Elastic Pink,16792,,1,
Puppy Collar Elastic Blue ,16793,,1,
Puppy Collar Suede Black,16791,,1,
PETLIFE Fashion Puppy Collar Paisley Pink ,17290,,1,
PETLIFE Fashion Puppy Collar Pup That Pink,17291,,1,
PETLIFE Fashion Puppy Collar Holky Polky,17293,,1,
PETLIFE Fashion Puppy Collar Swiss Swatch,17294,,1,
PETLIFE Fashion Puppy Collar Cosmo Black ,17295,,1,
PETLIFE Fashion Puppy Collar I See You Puppy ,17297,,1,
PETLIFE Fashion Puppy Collar Spring Time,17298,,1,
PETLIFE Fashion Puppy Collar Platinum,17299,,1,
Fashion Puppy Collar Golden Glamour,17300,,1,
Fashion Puppy Collar Silver Glamour,17301,,1,
Fashion Puppy Collar Canary Pie,17303,,1,
Fashion Puppy Collar Silver Lining,17304,,1,
Fashion Puppy Collar Water Baby,17305,,1,
Cat Collar Elastic Pink,16782,,1,
Cat Collar Elastic Blue,16783,,1,
Cat Collar Suede Black,16781,,1,
Eukanuba Puppy Chicken Small Breed,DPE0001,1,1,1
Fashion Cat Collar Glitzy Blue,17306,,1,
Fashion Cat Collar Cupcake,17307,,1,
Fashion Cat Collar Fish Bowl Pink,17308,,1,
Fashion Cat Collar She Gone Wild,17309,,1,
Eukanuba Puppy Chicken Medium Breed ,DPE0002,1,1,1
Eukanuba Puppy Chicken Large Breed,DPE0003,1,1,1
Sentinel Spectrum Chewable Tablet for Dogs up to 4kgs,DHS002,1,1,1
Sentinel Spectrum Chewable Tablet for Dogs 4.1kgs-11kgs,DHS006,1,1,1
Sentinel Spectrum Chewable Tablet for Dogs 11.1kgs-22kgs,DHS010,1,1,1
Eukanuba Adult Chicken Small Breed,DPE0004,1,1,1
Sentinel Spectrum Chewable tablet for Dogs 22.1kgs-45kgs,DHS014,1,1,1
Eukanuba Adult Chicken Medium Breed,DPE0005,1,1,1
Eukanuba Adult Chicken Large Breed,DPE0006,1,1,1
Quit Itch Shampoo and Lotion,DHP316,1,1,1
Hoss Gloss Medicated Shampoo,DGT020,1,1,1
Fashion Cat Collar I See Fish,17311,,1,
Fashion Cat Collar He Gone Wild,17312,,1,
Eukanuba Adult Weight Control Small Breed,DPE0007,1,1,1
Fashion Cat Collar Glitter Paws,17313,,1,
Fashion Cat Collar Fireman Red,17314,,1,
Fashion Cat Collar Silver Alley Cat,17315,,1,
Fashion Cat Collar Matrix,17316,,1,
Fashion Cat Collar Shazam,17317,,1,
Fashion Cat Collar Sassy White,17318,,1,
Fashion Cat Collar Mai Style,17319,,1,
Fashion Cat Collar I Dream in Purple,17320,,1,
Eukanuba Adult Weight Control Medium Breed,DPE0008,1,1,1
Fashion Cat Collar Africa Wild,17321,,1,
Eukanuba Adult Weight Control Large Breed,DPE0009,1,1,1
PETLIFE QuickFit Muzzle ,MUZZLE1,1,1,1
PETLIFE Baskerville Muzzle ,MUZZLE2,1,1,1
Eukanuba Mature & Senior Chicken Small Breed,DPE0010,1,1,1
Eukanuba Mature & Senior Chicken Medium Breed,DPE0011,1,1,1
Eukanuba Mature & Senior Chicken Large Breed,DPE0012,1,1,1
PETLIFE Matt Breaker,09039,,1,
Eukanuba Adult Daily Care Sensitive Skin ,DPE0014,1,1,1
PETLIFE Rotating Pin Comb,09036,,1,
PETLIFE Undercoat Rake,09027,,1,
Eukanuba Adult Daily Care Sensitive Joints ,DPE0016,1,1,1
PETLIFE Undercoat Comb,09038,,1,
Eukanuba Adult Daily Care Sensitive Digestion ,DPE0018,1,1,1
PETLIFE Flexi Combo Slicker Brush for Puppies,09035,,1,
PETLIFE Self Cleaning Slicker Brush ,09033,,1,
Eukanuba Adult Daily Care Senior 9+,DPE0013,1,1,1
SHEDEZE Deshedding Tool,SHED1,1,1,1
PETLIFE Flea Control Comb,09037,,1,
PETLIFE Face Scissors & Comb Set,09045,,1,
PETLIFE Grooming Scissors,09043,,1,
PETLIFE Thinning Scissors,09044,,1,
SHEDEZE Deshedding Blade,09047,,1,
PETLIFE Shiny Coat Combo Brush,09028,,1,
PETLIFE Nail Clippers,09040,,1,
PETLIFE Guillotine Nail Clippers ,09041,,1,
PETLIFE Shiny Coat Porcupine Brush ,09029,,1,
PETLIFE Slicker Brush,BRUSH1,1,1,1
PETLIFE Flexi Combo Slicker Brush for Cats,09034,,1,
PETLIFE Soap Dispensing Massage Brush,09042,,1,
Royal Canin Cat Ageing +12 2kgs,CPR0355,,1,
Eukanuba Healthy Extras Adult Maintenance Treats,DTE0080,,1,
Eukanuba Healthy Extras Adult Large Breed Maintenance Treats,DTE0060,,1,
Eukanuba Healthy Extras Puppy Treats,DTE0020,,1,
Eukanuba Healthy Extras Weight Control Treats,DTE0100,,1,
Eukanuba Healthy Extras Adult Small Breed Treats,DTE0040,,1,
Royal Canin Cat Babycat 2kgs,CPR0020,,1,
Royal Canin Cat British Short Hair ,14000,1,1,1
Royal Canin Cat Exigent,ROYEXI,1,1,1
Royal Canin Cat Exigent Protein 2kgs,CPR0140,,1,
Royal Canin Cat Exigent Aroma 2kgs,CPR0120,,1,
Royal Canin Cat Fit,ROY456,1,1,1
Pro Plan Senior Chicken & Rice,PRODOG11,1,1,1
Royal Canin Cat Indoor,ROY567,1,1,1
Royal Canin Cat Intense Hairball,ROY678,1,1,1
Royal Canin Cat Kitten,ROY890,1,1,1
Royal Canin Cat Indoor Mature,ROY011,1,1,1
Royal Canin Cat Light,ROY013,1,1,1
Royal Canin Cat Maine Coon,ROY014,1,1,1
Royal Canin Cat Oral Sensitive ,ROY017,1,1,1
Royal Canin Cat Persian,ROY018,1,1,1
Royal Canin Cat Ragdoll 2kgs,CPR0626,,1,
Royal Canin Cat Sensible,ROY019,1,1,1
