sku,name,stock.qty,stock.is_in_stock
DAK20008,"Kong Puppy Squeaker ",0.0000,"In Stock"
DAK2170,"Kong Puppy Flyer",7.0000,"In Stock"
DAK2130,"Kong Puppy Goodie Bone",7.0000,"In Stock"
DAK2910,"Kong Wobbler Small",4.0000,"In Stock"
DAK2920,"Kong Wobbler Large ",6.0000,"In Stock"
DAK20009,"Kong Wobbler",0.0000,"In Stock"
DAK5750,"Kong Wild Knot Bear Small",4.0000,"In Stock"
DAK5760,"Kong Wild Knot Bear Large",62.0000,"In Stock"
DAK50001,"Kong Wild Knot Bear",0.0000,"In Stock"
DAK5850,"Kong Genius Leo Small",5.0000,"In Stock"
DAK5860,"Kong Genius Leo Large",6.0000,"In Stock"
DAK5870,"Kong Genius Leo Extra Large",5.0000,"In Stock"
DAK50002,"Kong Genius Leo",0.0000,"In Stock"
DTL1180,"Love Em Liver Chews 2 Pack",97.0000,"In Stock"
DTL1020,"Love Em Puppy Rewards Treat 120g",6.0000,"In Stock"
DTL1200,"Love Em Liver Chews 4 Pack Chew",47.0000,"In Stock"
DTL1040,"Love Em Beef Liver Treats 100g",65.0000,"In Stock"
DAK6300,"Kong Cozie Ali Aligator Small",8.0000,"In Stock"
DAK6310,"Kong Cozie Ali Aligator Medium",52.0000,"In Stock"
DAK630001,"Kong Cozie Ali Aligator ",0.0000,"In Stock"
CHF0500,"Feliway Diffusser & Refill Set For Cats",40.0000,"In Stock"
DAK6330,"Kong Cozie King Lion Small",8.0000,"In Stock"
DAK6340,"Kong Cozie King Lion Medium",0.0000,"Out of Stock"
DAK630002,"Kong Cozie King Lion",0.0000,"In Stock"
DAK6360,"Kong Cozie Elmer the Elephant Small",1.0000,"In Stock"
DAK6370,"Kong Cozie Elmer the Elephant Medium",9.0000,"In Stock"
DAK630003,"Kong Cozie Elmer the Elephant",0.0000,"In Stock"
DAK6390,"Kong Cozie Rosie the Rhino Small",9.0000,"In Stock"
